fname,label
VCC1.wav,BENGALI SPEAKER(MALE)
VCC2.wav,BENGALI SPEAKER(MALE)
VCC3.wav,BENGALI SPEAKER(MALE)
VCC4.wav,BENGALI SPEAKER(MALE)
VCC5.wav,BENGALI SPEAKER(MALE)
VCC6.wav,BENGALI SPEAKER(MALE)
VCC7.wav,BENGALI SPEAKER(MALE)
VCC8.wav,BENGALI SPEAKER(MALE)
VCC9.wav,BENGALI SPEAKER(MALE)
VCC10.wav,BENGALI SPEAKER(MALE)
VCC11.wav,BENGALI SPEAKER(MALE)
VCC12.wav,BENGALI SPEAKER(MALE)
VCC13.wav,BENGALI SPEAKER(MALE)
VCC14.wav,BENGALI SPEAKER(MALE)
VCC15.wav,BENGALI SPEAKER(MALE)
VCC16.wav,BENGALI SPEAKER(MALE)
VCC17.wav,BENGALI SPEAKER(MALE)
VCC18.wav,BENGALI SPEAKER(MALE)
VCC19.wav,BENGALI SPEAKER(MALE)
VCC20.wav,BENGALI SPEAKER(MALE)
Hindi1.wav,HINDI SPEAKER(FEMALE)
Hindi2.wav,HINDI SPEAKER(FEMALE)
Hindi3.wav,HINDI SPEAKER(FEMALE)
Hindi4.wav,HINDI SPEAKER(FEMALE)
Hindi5.wav,HINDI SPEAKER(FEMALE)
Hindi6.wav,HINDI SPEAKER(FEMALE)
Hindi7.wav,HINDI SPEAKER(FEMALE)
Hindi8.wav,HINDI SPEAKER(FEMALE)
Hindi9.wav,HINDI SPEAKER(FEMALE)
Hindi10.wav,HINDI SPEAKER(FEMALE)
Hindi11.wav,HINDI SPEAKER(FEMALE)
Hindi12.wav,HINDI SPEAKER(FEMALE)
Hindi13.wav,HINDI SPEAKER(FEMALE)
Hindi14.wav,HINDI SPEAKER(FEMALE)
Hindi15.wav,HINDI SPEAKER(FEMALE)
Hindi16.wav,HINDI SPEAKER(FEMALE)
Hindi17.wav,HINDI SPEAKER(FEMALE)
Hindi18.wav,HINDI SPEAKER(FEMALE)
Hindi19.wav,HINDI SPEAKER(FEMALE)
Hindi20.wav,HINDI SPEAKER(FEMALE)
As.wav,ASSAMESE SPEAKER(MALE)
As1.wav,ASSAMESE SPEAKER(MALE)
As2.wav,ASSAMESE SPEAKER(MALE)
As3.wav,ASSAMESE SPEAKER(MALE)
As4.wav,ASSAMESE SPEAKER(MALE)
As5.wav,ASSAMESE SPEAKER(MALE)
As6.wav,ASSAMESE SPEAKER(MALE)
As7.wav,ASSAMESE SPEAKER(MALE)
As8.wav,ASSAMESE SPEAKER(MALE)
As9.wav,ASSAMESE SPEAKER(MALE)
As10.wav,ASSAMESE SPEAKER(MALE)
As11.wav,ASSAMESE SPEAKER(MALE)
As12.wav,ASSAMESE SPEAKER(MALE)
As13.wav,ASSAMESE SPEAKER(MALE)
As14.wav,ASSAMESE SPEAKER(MALE)
As15.wav,ASSAMESE SPEAKER(MALE)
As16.wav,ASSAMESE SPEAKER(MALE)
As17.wav,ASSAMESE SPEAKER(MALE)
As18.wav,ASSAMESE SPEAKER(MALE)
As19.wav,ASSAMESE SPEAKER(MALE)
As20.wav,ASSAMESE SPEAKER(MALE)
ml.wav,MALAYALAM SPEAKER(FEMALE)
ml1.wav,MALAYALAM SPEAKER(FEMALE)
ml2.wav,MALAYALAM SPEAKER(FEMALE)
ml3.wav,MALAYALAM SPEAKER(FEMALE)
ml4.wav,MALAYALAM SPEAKER(FEMALE)
ml5.wav,MALAYALAM SPEAKER(FEMALE)
ml6.wav,MALAYALAM SPEAKER(FEMALE)
ml7.wav,MALAYALAM SPEAKER(FEMALE)
ml8.wav,MALAYALAM SPEAKER(FEMALE)
ml9.wav,MALAYALAM SPEAKER(FEMALE)
ml10.wav,MALAYALAM SPEAKER(FEMALE)
ml11.wav,MALAYALAM SPEAKER(FEMALE)
ml12.wav,MALAYALAM SPEAKER(FEMALE)
ml13.wav,MALAYALAM SPEAKER(FEMALE)
ml14.wav,MALAYALAM SPEAKER(FEMALE)
ml15.wav,MALAYALAM SPEAKER(FEMALE)
ml16.wav,MALAYALAM SPEAKER(FEMALE)
ml17.wav,MALAYALAM SPEAKER(FEMALE)
ml18.wav,MALAYALAM SPEAKER(FEMALE)
ml19.wav,MALAYALAM SPEAKER(FEMALE)
ml20.wav,MALAYALAM SPEAKER(FEMALE)
Od1.wav,ODIA SPEAKER(MALE)
Od2.wav,ODIA SPEAKER(MALE)
Od3.wav,ODIA SPEAKER(MALE)
Od4.wav,ODIA SPEAKER(MALE)
Od5.wav,ODIA SPEAKER(MALE)
Od6.wav,ODIA SPEAKER(MALE)
Od7.wav,ODIA SPEAKER(MALE)
Od8.wav,ODIA SPEAKER(MALE)
Od9.wav,ODIA SPEAKER(MALE)
Od10.wav,ODIA SPEAKER(MALE)
Od11.wav,ODIA SPEAKER(MALE)
Od12.wav,ODIA SPEAKER(MALE)
Od13.wav,ODIA SPEAKER(MALE)
Od14.wav,ODIA SPEAKER(MALE)
Od15.wav,ODIA SPEAKER(MALE)
Od16.wav,ODIA SPEAKER(MALE)
Od17.wav,ODIA SPEAKER(MALE)
Od18.wav,ODIA SPEAKER(MALE)
Od19.wav,ODIA SPEAKER(MALE)
Od20.wav,ODIA SPEAKER(MALE)
